model_layer,model_name,field_name,business_name_ru,description_ru,description_en,semantic_type,is_key,source_field_names,source_json_paths,source_datasets,source_yaml_files,json_value_types,has_actual_examples,notes
staging/core,orders,order_id,ID сборочного задания WB,"Идентификатор сборочного задания или заказа в API Wildberries. В разных методах может приходить как orderId, orderID или id.",Assembly order ID / order ID in Wildberries API.,order_identifier,True,"[""orderId""]","[""orders[].orderId""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,rid,Уникальный ID заказа WB,"Уникальный идентификатор заказа Wildberries. Используется для связи заказов с продажами, возвратами, отчётами и финансовыми детализациями. В ряде методов WB этому же смыслу соответствует поле srid.","Unique order ID. In several WB reports and finance methods, srid corresponds to rid.",order_identifier,True,"[""rid""]","[""orders[].rid""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""string""]",True,manual_override
staging/core,orders,srid,Уникальный ID заказа WB в отчётах,Идентификатор заказа в отчётах и финансовых методах WB. Для Marketplace API по смыслу соответствует rid из методов сборочных заданий.,"Order ID in WB reports and finance methods. In Marketplace API responses, srid corresponds to rid.",order_identifier,True,"[""srid""]","[""orders[].srid""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""09-communications.yaml""]","[""string""]",True,manual_override
staging/core,orders,order_uid,ID корзины / транзакции,Идентификатор транзакции для группировки сборочных заданий. Заказы из одной корзины покупателя могут иметь одинаковый orderUid.,Transaction/cart ID for grouping assembly orders. Orders in the same buyer cart can have the same orderUid.,cart_identifier,False,"[""orderUid""]","[""orders[].orderUid""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml""]","[""string""]",True,manual_override
staging/core,orders,nm_id,Артикул WB / номер товара WB,"Номенклатурный номер товара Wildberries. Используется для связи заказа с карточкой товара, остатками, аналитикой, рекламой и отчётами.",WB item number / Wildberries article number.,product_identifier,True,"[""nmId""]","[""orders[].nmId"", ""orders[].product.nmId""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,chrt_id,ID размера / характеристики товара,Идентификатор размера или характеристики товара в системе Wildberries. Используется для различения вариантов одного товара.,Size ID / item characteristic ID in WB systems.,product_variant_identifier,True,"[""chrtId""]","[""orders[].chrtId"", ""orders[].product.chrtId""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,article,Артикул продавца,Артикул товара у продавца. Используется продавцом для внутренней идентификации товара.,Seller item number / seller article.,seller_product_identifier,False,"[""article""]","[""orders[].article"", ""orders[].product.article""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""string""]",True,manual_override
staging/core,orders,supplier_article,Артикул продавца,Артикул товара у продавца в отчётах WB.,Seller article number.,seller_product_identifier,False,[],[],[],[],[],False,manual_override
staging/core,orders,barcode,Баркод / штрихкод,"Баркод товара или закодированное значение стикера, в зависимости от метода WB. В core.orders используется как идентификатор товарной единицы из заказа.",Barcode or encoded sticker value depending on the WB method.,product_barcode,False,"[""barcode""]","[""orders[].barcode""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml""]","[""string""]",True,manual_override
staging/core,orders,skus,Список SKU / баркодов,Массив SKU или баркодов товарной единицы в заказе.,Item SKU/barcode array.,product_barcode_array,False,"[""skus""]","[""orders[].skus"", ""orders[].skus[]"", ""orders[].product.skus"", ""orders[].product.skus[]""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""array"", ""string""]",True,manual_override
staging/core,orders,warehouse_id,ID склада,"Идентификатор склада, связанного с заказом. В зависимости от метода может означать склад продавца, склад приёмки или склад отгрузки.",Warehouse ID related to the order.,warehouse_identifier,True,"[""warehouseId""]","[""orders[].warehouseId""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,delivery_type,Тип доставки,"Тип доставки заказа. Для наших mock-данных используется словарь: fbs, dbs, edbs, dbsPickupPoint, dbw, pickupPoint, selfPickup.","Delivery type. In mock data: fbs, dbs, edbs, dbsPickupPoint, dbw, pickupPoint, selfPickup.",delivery_type,False,"[""deliveryType""]","[""orders[].deliveryType""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""02-items.yaml"", ""03-orders-fbs.yaml""]","[""string""]",True,manual_override
staging/core,orders,delivery_method,Метод доставки / модель продажи,Метод доставки или модель продажи. В финансовых отчётах WB описывает sales model and item type.,Delivery method / sales model and item type.,delivery_method,False,"[""deliveryMethod""]","[""orders[].deliveryMethod""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""13-finances.yaml""]","[""string""]",True,manual_override
staging/core,orders,price,Цена заказа,"Цена в валюте продажи с учётом скидок, кроме скидки WB Кошелька. В order API значения часто умножены на 100.",Price in sale currency including discounts except WB Wallet discount. In order APIs values are often multiplied by 100.,money_amount,False,"[""price""]","[""orders[].price"", ""orders[].priceInfo.price""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,sale_price,Цена продавца со скидкой,"Цена продавца в валюте продажи с учётом скидки продавца, без учёта скидки WB Клуба. В order API значения часто умножены на 100.","Seller price in sale currency including seller discount, excluding WB Club discount. Often multiplied by 100.",money_amount,False,"[""salePrice""]","[""orders[].salePrice""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,final_price,Итоговая сумма к оплате покупателем,Сумма к оплате покупателем в валюте продажи с учётом всех скидок. В order API значения часто умножены на 100.,Final amount charged to the buyer in sale currency including all discounts. Often multiplied by 100.,money_amount,False,"[""finalPrice""]","[""orders[].finalPrice""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,converted_price,Цена в валюте страны продавца,"Цена в валюте страны продавца с учётом скидок, кроме скидки WB Кошелька. В order API значения часто умножены на 100.",Price in seller country currency including discounts except WB Wallet discount. Often multiplied by 100.,money_amount,False,"[""convertedPrice""]","[""orders[].convertedPrice"", ""orders[].priceInfo.convertedPrice""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,converted_final_price,Итоговая сумма в валюте страны продавца,Сумма к оплате покупателем в валюте страны продавца с учётом всех скидок. В order API значения часто умножены на 100.,Final amount charged to the buyer in seller country currency including all discounts. Often multiplied by 100.,money_amount,False,"[""convertedFinalPrice""]","[""orders[].convertedFinalPrice""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,currency_code,Код валюты,Код валюты продажи.,Sale currency code.,currency_code,False,"[""currencyCode""]","[""orders[].currencyCode"", ""orders[].priceInfo.currencyCode""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""integer""]",True,manual_override
staging/core,orders,created_at,Дата и время создания заказа,Дата и время создания заказа или сборочного задания.,Order or assembly task creation date and time.,event_timestamp,False,"[""createdAt""]","[""orders[].createdAt""]","[""orders_dbs_completed"", ""orders_dbs_new"", ""orders_dbw_completed"", ""orders_dbw_new"", ""orders_fbs_archive"", ""orders_fbs_current"", ""orders_fbs_new"", ""orders_pickup_new""]","[""05-orders-dbs.yaml"", ""04-orders-dbw.yaml"", ""03-orders-fbs.yaml"", ""06-in-store-pickup.yaml""]","[""string""]",True,manual_override
